number,code,url-name,filename,emoji,emoji-symbol,link,title,front-matter
1094,u+1fa72,briefs,1094-briefs.md,briefs,🩲,permalink: 🩲.html,briefs,"---
layout: objects
title: briefs
emoji: briefs
permalink: 🩲.html
---"
1095,u+1fa73,shorts,1095-shorts.md,shorts,🩳,permalink: 🩳.html,shorts,"---
layout: objects
title: shorts
emoji: shorts
permalink: 🩳.html
---"
1096,u+1f459,bikini,1096-bikini.md,bikini,👙,permalink: 👙.html,bikini,"---
layout: objects
title: bikini
emoji: bikini
permalink: 👙.html
---"
1097,u+1f45a,woman’s-clothes,1097-woman’s-clothes.md,womans_clothes,👚,permalink: 👚.html,woman’s clothes,"---
layout: objects
title: woman’s clothes
emoji: womans_clothes
permalink: 👚.html
---"
1098,u+1f45b,purse,1098-purse.md,purse,👛,permalink: 👛.html,purse,"---
layout: objects
title: purse
emoji: purse
permalink: 👛.html
---"
1099,u+1f45c,handbag,1099-handbag.md,handbag,👜,permalink: 👜.html,handbag,"---
layout: objects
title: handbag
emoji: handbag
permalink: 👜.html
---"
1100,u+1f45d,clutch-bag,1100-clutch-bag.md,clutch_bag,👝,permalink: 👝.html,clutch bag,"---
layout: objects
title: clutch bag
emoji: clutch_bag
permalink: 👝.html
---"
1101,u+1f6cd,shopping-bags,1101-shopping-bags.md,shopping_bags,🛍,permalink: 🛍.html,shopping bags,"---
layout: objects
title: shopping bags
emoji: shopping_bags
permalink: 🛍.html
---"
1102,u+1f392,backpack,1102-backpack.md,backpack,🎒,permalink: 🎒.html,backpack,"---
layout: objects
title: backpack
emoji: backpack
permalink: 🎒.html
---"
1103,u+1fa74,thong-sandal,1103-thong-sandal.md,thong_sandal,🩴,permalink: 🩴.html,thong sandal,"---
layout: objects
title: thong sandal
emoji: thong_sandal
permalink: 🩴.html
---"
1104,u+1f45e,man’s-shoe,1104-man’s-shoe.md,mans_shoe,👞,permalink: 👞.html,man’s shoe,"---
layout: objects
title: man’s shoe
emoji: mans_shoe
permalink: 👞.html
---"
1105,u+1f45f,running-shoe,1105-running-shoe.md,running_shoe,👟,permalink: 👟.html,running shoe,"---
layout: objects
title: running shoe
emoji: running_shoe
permalink: 👟.html
---"
1106,u+1f97e,hiking-boot,1106-hiking-boot.md,hiking_boot,🥾,permalink: 🥾.html,hiking boot,"---
layout: objects
title: hiking boot
emoji: hiking_boot
permalink: 🥾.html
---"
1107,u+1f97f,flat-shoe,1107-flat-shoe.md,flat_shoe,🥿,permalink: 🥿.html,flat shoe,"---
layout: objects
title: flat shoe
emoji: flat_shoe
permalink: 🥿.html
---"
1108,u+1f460,high-heeled-shoe,1108-high-heeled-shoe.md,high_heeled_shoe,👠,permalink: 👠.html,high-heeled shoe,"---
layout: objects
title: high-heeled shoe
emoji: high_heeled_shoe
permalink: 👠.html
---"
1109,u+1f461,womans-sandal,1109-womans-sandal.md,womans_sandal,👡,permalink: 👡.html,woman’s sandal,"---
layout: objects
title: woman’s sandal
emoji: womans_sandal
permalink: 👡.html
---"
